installs,score,ratings,reviews,categoryProb,isFree
10000000,3.9501467,121818,877,0.0353448275862069,1
500000000,4.8059254,20369439,90831,0.0353448275862069,1
50000000,4.6812277,6264679,1331,0.02586337473492881,1
50000000,4.3861384,420408,131,0.02586337473492881,1
5000000,3,2855,15,0.0045901639344262295,1
500000,4.570248,626,80,0.0045901639344262295,1
50000000,4.69,741525,106,0.05485582707905922,1
100000000,4.937713,7876694,581735,0.05485582707905922,1
1000000000,4.1433954,4407785,71885,0.0096995376573836,1
100000000,4.64063,7923282,91623,0.0096995376573836,1
100000000,4.69613,3943664,97317,0.0693503387803906,1
1000000,3.9444444,2884,9,0.0693503387803906,1
10000000000,4.455297,205747070,1987855,0.01940739120927181,1
1000000000,4.0973816,37151279,1767818,0.01940739120927181,1
100000000,3.7610135,7991902,270143,0.008686983765309029,1
50000000,4.124373,134625,3701,0.008686983765309029,1
500000000,4.6627207,32559177,856028,0.04780101257940891,1
10000000,4.65,51107,295,0.04780101257940891,1
50000000,4.5760837,1387194,18351,0.02839347176092245,1
1000000000,4.036143,14801993,907049,0.02839347176092245,1
10000000,4.5044246,121815,341,0.003461458979127919,1
10000000,4.7570214,155087,6775,0.003461458979127919,1
500000000,4.341349,12279644,4502,0.018139580862000793,1
10000000,4.49,266870,28,0.018139580862000793,1
50000000,4.6944,2297990,1639,0.005544244892023559,1
50000000,4.6027875,2636673,379,0.005544244892023559,1
10000000,4.3039217,15323,250,0.025556030795551753,1
1000000,4.2156863,3114,190,0.025556030795551753,1
10000000,4.418115,344556,1627,0.010928061504667765,1
100000,3.142857,565,3,0.010928061504667765,1
1000000,4.2913384,47543,609,0.022112152839200424,1
1000000,3.9385965,12281,182,0.022112152839200424,1
1000000000,4.4620724,10874808,690521,0.021236064867730126,1
5000000,4.8,29546,10,0.021236064867730126,1
500000000,4.4840555,14915125,385980,0.04541642474679053,1
100000000,4.732146,10504785,8714,0.04541642474679053,1
5000000,4.5555553,39282,245,0.05657258462449423,1
50000000,3.918033,797922,525,0.05657258462449423,1
1000000000,4.3498693,33033817,1775668,0.01942221153515853,1
50000000,4.4201183,1277894,1261,0.01942221153515853,1
50000000,4.19,618591,2207,0.005103969754253308,1
100000000,4.6945605,2647345,18668,0.005103969754253308,1
50000000,4.634947,1748616,11368,0.042384630619924736,1
5000000,4.6572437,76560,1173,0.042384630619924736,1
10000000,4.66,37041,212,0.1813751240296504,1
5000000,4.5128207,47944,293,0.1813751240296504,1
100000000,4.1406226,4981726,21104,0.030491883018179608,1
10000000,4.182588,697383,20235,0.030491883018179608,1
100000000,4.7794495,10019243,52458,0.03530051234561688,1
10000000,4.8954425,201326,2027,0.03530051234561688,1
500000000,4.5715466,7304634,450104,0.002593801286525438,1
500000000,4.251376,4862421,1748,0.002593801286525438,1
5000000000,3.9395862,161483534,4579485,0.00970419995993679,1
1000000000,3.7736695,22525039,779653,0.00970419995993679,1
10000000,3.59,105629,542,0.049205742439687394,1
50000000,4.3465347,295167,165,0.049205742439687394,1
1000000000,4.31066,18150715,56530,0.04964165261382799,1
100000000,4.652547,1089074,23477,0.04964165261382799,1
100000000,4.455436,1684275,91785,0.035049563544903094,1
100000000,4.8380303,14736998,10673,0.035049563544903094,1
5000000,4.646048,150978,6023,0.05394066526820498,1
10000000,4.550857,32747,2340,0.05394066526820498,1
